series,season,episode,episode_name,air_date,summary,mini_challenge,main_challenge,mini_challenge_winner,runway_theme
Drag Race Down Under,1,6,"""Family Resemblance""",2021-06-05,"
For the mini-challenge, the queens will interact with local wildlife, with Maxi Shield winning the mini-challenge. For the main challenge, the queens will transform rugby players into members of their drag family.
On the runway, Karen from Finance and Kita Mean receive positive critiques, with Kita Mean winning the challenge. Elektra Shock, Maxi Shield and Scarlet Adams receive negative critiques, with Elektra Shock being safe. Maxi Shield and Scarlet Adams lip-sync to ""Better the Devil You Know"" by Kylie Minogue. Scarlet Adams wins the lip-sync and Maxi Shield sashays away.

Mini Challenge: Interaction with local wildlife
Mini Challenge Winner: Maxi Shield
Mini Challenge Prize: $2,000 gift card from Amped accessories
Main Challenge: Transform rugby players into members of their drag family
Runway Theme: Drag Family Resemblance
Challenge Winner: Kita Mean
Main Challenge Prize: $2,500 prize package from House of Priscilla & $1,500 gift card from DailyJocks for their partner
Bottom Two: Maxi Shield and Scarlet Adams
Lip Sync Song: ""Better the Devil You Know"" by Kylie Minogue
Eliminated: Maxi Shield 
Farewell Message: ""I HAD TO STAND ON A STOOL TO WRITE THIS! I ♡ YOU ALL SO MUCH MAXI XX""
",," $2,500 prize package from House of Priscilla & $1,500 gift card from DailyJocks for their partner",, Drag Family Resemblance
Drag Race Down Under,1,7,"""Talent Show Extravaganza""",2021-06-12,"
For this week's main challenge, the queens will perform a talent in front of the judges.

Art Simone - Eating
Elektra Shock - Modern Dance
Karen from Finance - Ballooning
Kita Mean - Quick Magic Change
Scarlet Adams - Pole Dancing
On the runway, category is How's Your Head Piece? Scarlet Adams wins the challenge. Elektra Shock and Kita Mean are the bottom two and lip-sync to Untouched"" by The Veronicas. Kita Mean wins the lip-sync and Elektra Shock sashays away.

Main Challenge: Perform a talent show in front of the judges
Runway Theme: How's Your Head Piece?
Challenge Winner: Scarlet Adams 
Main Challenge Prize: A range of individualised merch and $5,000 cash tip from Merch Mother
Bottom Two: Elektra Shock & Kita Mean
Lip Sync Song: ""Untouched"" by The Veronicas
Eliminated: Elektra Shock 
Farewell Message: ""Only 1 queen could beat me, and that's the winner of Rupaul's Drag Race Down Under. Kia Kaha x THANK YOU. Elektra SHOCK""
",," A range of individualised merch and $5,000 cash tip from Merch Mother",, How's Your Head Piece?
Drag Race Down Under,1,8,"""Down Under Grand Finale""",2021-06-19,"
For the final challenge of the season, the queens will write, record and perform their own versus to RuPaul's song ""I'm A Winner, Baby"".
The queens then walk the runway one last time. They are all told that they will be lip-syncing to ""Physical"" by Olivia Newton-John. Kita Mean is announced as the winner, leaving Art Simone, Karen from Finance and Scarlet Adams as the runners-up.

Main Challenge: Write, record and perform their own versus to RuPaul's song ""I'm A Winner, Baby""
Runway Theme: Best Drag
Lip Sync Song: ""Physical"" by Olivia Newton-John
Runners-up:  Art Simone, Karen from Finance and Scarlet Adams
Winner of RuPaul's Drag Race Down Under Season One: Kita Mean
",," Write, record and perform their own versus to RuPaul's song ""I'm A Winner, Baby""",, Best Drag
Drag Race Down Under,2,1,"""Grand Opening""",2022-07-30,"
Ten new queens enter the werkroom. For the first mini-challenge, the queens do a sausage sizzle photoshoot. Minnie Cooper wins the mini-challenge. For the main challenge, the queens must create a signature look using locally sourced and recycling materials.
On the runway, category is Down Under, Naturally. Hannah Conda, Molly Poppinz and Yuri Guaii receive positive critiques, with Molly Poppinz winning the challenge. Faúx Fúr, Kween Kong and Spankie Jackzon receive negative critiques, with Kween Kong being safe. Faúx Fúr and Spankie Jackzon lip-sync to ""Get Outta My Way"" by Kylie Minogue. Spankie Jackzon wins the lip-sync and Faúx Fúr is the first queen to sashay away.

Mini Challenge: Sausage sizzle Photoshoot
Mini Challenge Winner:  Minnie Cooper
Main Challenge:  Create a signature look using locally sourced and recycling materials
Runway Themes:  Down Under, Naturally
Challenge Winner: Molly Poppinz
Main Challenge Prize: A custom prosthetic makeover courtesy of BodyFX
Bottom Two:  Faúx Fúr and Spankie Jackzon
Lip-Sync Song:  ""Get Outta My Way"" by Kylie Minogue
Eliminated: Faúx Fúr
Farewell Message: Sisters forever. THE LOUD NIECE DIES. AAHHHHH!!! xoxo Faúx
",, A custom prosthetic makeover courtesy of BodyFX,,"  Down Under, Naturally"
Drag Race Down Under,2,2,"""Cagey Queens""",2022-08-06,"
The queens are split into two groups by Molly Poppinz who ranked the girls in the ""All Tea No Shade"" pageant. Their acting chops are put to the test in the original screenplay ""Caged Queens"", a prison-based dramedy.
On the runway, category is Fly Girls: Insects on the Runway. Hannah Conda, Minnie Cooper, and Spankie Jackzon receive positive critiques, with Spankie Jackzon winning the challenge. Aubrey Haive, Kween Kong and Yuri Guaii receive negative critiques, with Yuri Guaii being safe. Aubrey Haive & Kween Kong lip-sync to ""I Touch Myself"" by Divinyls. Kween Kong wins the lip-sync and Aubrey Haive sashays away.

Guest Judge: Lucy Lawless
Main Challenge: Perform in a gritty prison drama, 'Caged Queens'
Runway Theme: Fly Girls: Insects on the Runway
Challenge Winner: Spankie Jackzon
Main Challenge Prize: 4 night stay at a Sofitel property of choice in Australia or New Zealand from Sofitel Viaduct Auckland Harbour
Bottom Two: Aubrey Haive	and Kween Kong
Lip-Sync Song: ""I Touch Myself"" by Divinyls
Eliminated: Aubrey Haive
Farewell Message: Stay fag'edelic Babbies! Can't wait to see you all again! Love Aubrey (Audrey) Haive! xxx
",, 4 night stay at a Sofitel property of choice in Australia or New Zealand from Sofitel Viaduct Auckland Harbour,, Fly Girls: Insects on the Runway
Drag Race Down Under,2,3,"""Bottomless Brunch""",2022-08-13,"
For this week's mini-challenge, the queens play a guessing game with the pit crew called ""Tools of the Trade"". Molly Poppinz wins the mini-challenge. For the main challenge, the queens pair up and together host a Down Under Drag Bunch. As winner of the mini-challenge, Molly Poppinz gets to assign the pairs. She pairs herself with Hannah Conda, Beverly Kills with Pomara Fifth, Kween Kong with Minnie Cooper, and Spankie Jackzon with Yuri Guaii.
On the runway, category is Red For Filth. Kween Kong & Minnie Cooper and Spankie Jackzon & Yuri Guaii receive positive critiques, with Spankie Jackzon and Yuri Guaii winning the challenge. Hannah Conda & Molly Poppinz and Beverly Kills & Pomara Fifth receive negative critiques, with Hannah Conda and Molly Poppinz being safe. Beverly Kills and Pomara Fifth lip-sync to ""Starstruck"" by Years & Years ft. Kylie Minogue. Beverly Kills wins the lip-sync and Pomara Fifth sashays away.

Guest Judge: Urzila Carson
Mini Challenge: Tools of the Trade
Mini Challenge Winner: Molly Poppinz
Mini Challenge Prizes: $5,000 cash prize
Main Challenge: Host a Down Under Drag Brunch in pairs
Runway Theme: Red For Filth
Challenge Winners: Spankie Jackzon and Yuri Guaii 
Main Challenge Prize: $5,000 cash prize each, courtesy of The Star, Sydney
Bottom Two: Beverly Kills and Pomara Fifth
Lip-Sync Song: ""Starstruck"" by Years & Years ft. Kylie Minogue
Eliminated: Pomara Fifth
Farewell Message: To my delicious pack of cunts: I'm going to miss you all so so so much. Ps: Watch your delivery Minnie. Love, Pomara
",," $5,000 cash prize each, courtesy of The Star, Sydney",, Red For Filth
Drag Race Down Under,2,4,"""Snatch Game""",2022-08-20,"
For this week's main challenge, the queens play the Snatch Game, with Raven and Rhys Nicholson starring as the celebrity contestants. The characters are as follows:

Beverly Kills as Val Garland
Hannah Conda as Liza Minnelli
Kween Kong as NeNe Leakes
Minnie Cooper as Ellen DeGeneres
Molly Poppinz as Orville Peck
Spankie Jackzon as Barry Humphries' Dame Edna Everage
Yuri Guaii as Courtney Love
On the runway, the category is Cirque du So-Gay. Hannah Conda, Spankie Jackzon and Yuri Guaii receive positive critiques, with Hannah Conda winning the challenge. Beverly Kills, Minnie Cooper and Molly Poppinz receive negative critiques, with Molly Poppinz being safe. Beverly Kills and Minnie Cooper lip-sync to ""Dance in the Dark"" by Lady Gaga. Beverly Kills wins the lip-sync and Minnie Cooper sashays away.

Main Challenge: Snatch Game
Runway Theme: Cirque du So-Gay
Challenge Winner: Hannah Conda
Main Challenge Prize: $5,000 cash prize, courtesy of The Star, Sydney
Bottom Two: Beverly Kills and Minnie Cooper
Lip-Sync Song: ""Dance in the Dark"" by Lady Gaga
Eliminated: Minnie Cooper
Farewell Message: Thank you Sparky Kong Yuri for being so kind #byo Tk coops xx
",," $5,000 cash prize, courtesy of The Star, Sydney",, Cirque du So-Gay
Drag Race Down Under,2,5,"""Bosom Buddies""",2022-08-27,"
For this week's mini-challenge, the queens read each other to filth. Kween Kong wins the mini-challenge. For this week's main challenge, the girls write, record, and perform their own verses to ""Bosom Buddies"". Hannah Conda, Kween Kong and Spankie Jackzon formed ""BAB'Z"" (Broke Ass Bitchez). Beverly Kills, Molly Poppinz and Yuri Guaii formed ""The Hung Divas"".
On the runway, category is Belts, Buckles and Chains. Team ""BAB'Z"" is the winning team, with Hannah Conda, Kween Kong and Spankie Jackzon all winning the challenge. Team ""The Hung Divas"" is the losing team. Molly Poppinz and Yuri Guaii are the bottom two and lip-sync to ""Chains (S&M Remix)"" by Tina Arena. Molly Poppinz wins the lip-sync and Yuri Guaii sashays away.

Mini-Challenge: Reading is Fundamental
Mini-Challenge Winner: Kween Kong
Main Challenge: Write, record, and perform their own verses to ""Bosom Buddies""
Runway Theme: Belts, Buckles and Chains
Challenge Winners: Hannah Conda, Kween Kong and Spankie Jackzon
Main Challenge Prize: $2,000 cash prize each, and a year supply of tights
Bottom Two: Molly Poppinz and Yuri Guaii
Lip Sync Song: ""Chains (S&M Remix)"" by Tina Arena
Eliminated: Yuri Guaii
Farewell Message: Live fast eat ass. Boo. xoxo Trish, Yuri. Spankie 4 the win!
", Reading is Fundamental," $2,000 cash prize each, and a year supply of tights", Kween Kong," Belts, Buckles and Chains"
Drag Race Down Under,2,6,"""Hometown Hunnies""",2022-09-03,"
For this week's main challenge, the queens create a tourism campaign for their hometowns.

Beverly Kills chose Gold Coast, Queensland
Hannah Conda chose Perth, Western Australia
Kween Kong chose Mangere, South Auckland
Molly Poppinz chose Newcastle, New South Wales
Spankie Jackzon chose Palmerston North, New Zealand
On the runway, category is Swimsuit Edition. Hannah Conda, Molly Poppinz and Spankie Jackzon receive positive critiques, with Hannah Conda winning the challenge. Beverly Kills and Kween Kong receive negative critiques and are up for elimination. They lip-sync to ""The Beginning"" by RuPaul. Kween Kong wins the lip-sync and Beverly Kills sashays away.

Main Challenge: Create a tourism campaign for their hometowns
Runway Theme: Swimsuit Edition
Challenge Winner: Hannah Conda
Main Challenge Prize: A $2,000 gift card courtesy of Shoe Me
Bottom Two: Beverly Kills and Kween Kong
Lip Sync Song: ""The Beginning"" by RuPaul
Eliminated: Beverly Kills
Farewell Message: ""Thank you for the love, friendship and memories. You're all bastards. KILLS xx P.S. #TeamSpankie""
",," A $2,000 gift card courtesy of Shoe Me",, Swimsuit Edition
Drag Race Down Under,2,7,"""Drag Family Makeover""",2022-09-10,"
For this week's main challenge, the queens makeover a family of men into gorgeous glamazons.
On the runway, category is Opposites Attract. Kween Kong and Spankie Jackzon receive positive critiques, with Kween Kong winning the challenge. Hannah Conda and Molly Poppinz receive negative critiques and are up for elimination. They lip-sync to ""Heartbreak in This City"" by Steps and Michelle Visage. Hannah Conda wins the lip-sync and Molly Poppinz sashays away.

Main Challenge: Makeover a family of men into gorgeous glamazons
Runway Theme:  Opposites Attract
Challenge Winner: Kween Kong
Main Challenge Prize: $5,000 from Anastasia Beverly Hills
Bottom Two: Hannah Conda and Molly Poppinz
Lip Sync Song: ""Heartbreak in This City"" by Steps and Michelle Visage
Eliminated: Molly Poppinz
Farewell Message:
",," $5,000 from Anastasia Beverly Hills",,  Opposites Attract
Drag Race Down Under,2,8,"""Grand Finale""",2022-09-17,"
For the final challenge of the season, the queens write, record and perform their own verses to RuPaul's song ""Who Is She"".
The queens walk the runway one last time in their Grand Finale Eleganza Extravaganza. They are told that they will lip-sync one last time to ""Wow"" by Kylie Minogue. It is announced that Spankie Jackzon is the winner, leaving Hannah Conda and Kween Kong as the runners-up.

Main Challenge: Write, record and perform their own versus to RuPaul's song ""Who Is She""
Runway Theme: Grand Finale Eleganza Extravaganza
Lip Sync Song: ""Wow"" by Kylie Minogue
Runners-up: Hannah Conda and Kween Kong
Winner of RuPaul's Drag Race Down Under Season Two: Spankie Jackzon
",," Write, record and perform their own versus to RuPaul's song ""Who Is She""",, Grand Finale Eleganza Extravaganza
Drag Race Holland,1,1,"""Land of the Queens""",2020-09-18,"
The ten queens enter the work room for the first time. They are then thrown into their first mini-challenge, where they must participate in an underwater photoshoot. Miss Abby OMG is revealed to be the winner. For their first main challenge, they must showcase a look based on their favorite queen.
On the runway, ChelseaBoy, Janey Jacké and Sederginne receive positive critiques, with Janey Jacké winning the challenge. Ma'Ma Queen, Megan Schoonbrood and Roem receive negative critiques, with Ma'Ma Queen being safe. Megan Schoonbrood and Roem then lip-sync to ""Express Yourself"" by Madonna. Megan Schoonbrood is declared the winner, and Roem is the first queen to sashay away.

Alternating Judges: Claes Iversen [nl] and Sanne Wallis de Vries [nl]
Mini-Challenge: Underwater photoshoot
Mini-Challenge Winner: Miss Abby OMG
Main Challenge: Showcase a look based on your favorite queen
Challenge Winner: Janey Jacké
Main Challenge Prize: Prize package from Make-up Studio, worth €1,000
Bottom Two: Megan Schoonbrood and Roem
Lip Sync Song: ""Express Yourself"" by Madonna
Eliminated: Roem
Farewell Message: ""Meiden, het was gezellig. Ik ga een frikandel bakken xoxo Roem. P.S. Ik heb jullie pruiken doorgeknipt! ♡"" (""Girls, it was fun. I'm going to bake a ""frikandel"" xoxo Roem. P.S. I cut all your wigs up! ♡"")
", Underwater photoshoot," Prize package from Make-up Studio, worth €1,000", Miss Abby OMG,
Drag Race Holland,1,2,"""Give Face!""",2020-09-25,"
For this weeks mini-challenge, they queens had to design their own clogs and walk the runway. ChelseaBoy and Envy Peru won and were team captains for the main challenge. The main challenge was to record a group work-out video. ChelseaBoy chose Janey Jacké, Miss Abby OMG, Ma'Ma Queen and Madame Madness for her team. Envy Peru chose Megan Schoonbrood, Patty Pam-Pam and Sederginne for her team.
On the runway, category is Give Face, Face, Face. Envy Peru, Miss Abby OMG and Sederginne receive positive critiques, with Envy Peru winning the challenge. Madame Madness, Megan Schoonbrood and Patty Pam-Pam receive negative critiques, with Megan Schoonbrood being safe. Madame Madness and Patty Pam-Pam lip-sync to ""Roar"" by Katy Perry. Madame Madness is declared the winner, with Patty Pam-Pam sashaying away.

Guest Judge: Nikkie de Jager
Alternating Judge: Roxeanne Hazes [nl]
Mini-Challenge: Walk the runway on your own designed clogs
Mini-Challenge Winners: ChelseaBoy and Envy Peru
Main Challenge: Record a group work-out video
Runway Theme: Give Face, Face, Face
Challenge Winner: Envy Peru
Main Challenge Prize: Prize package of hairproducts and stylingtools by John Beerens, worth €1,000
Bottom Two: Madame Madness and Patty Pam-Pam
Lip Sync Song: ""Roar"" by Katy Perry
Eliminated: Patty Pam-Pam
Farewell Message: ""Meiden, het was me een genoegen, maar ik heb er genoeg van. Wees lief."" (""Girls, it was a pleasure, but I've had enough. Be kind."")
", Walk the runway on your own designed clogs," Prize package of hairproducts and stylingtools by John Beerens, worth €1,000", ChelseaBoy and Envy Peru," Give Face, Face, Face"
